id,text,label
3,Prices are very affordable. The menu in the photo cost 108 liras. You have to wait 10-15 minutes for food. Staff is annoying. Well it tastes good. Boiled meat was delicious.,
4,Turkey's cheapest artisan restaurant and its food is delicious!,
6,Generally good.,
7,What you see is 125 TL in total. It's a pretty convenient place. We can say that it is an artisan restaurant; you should not expect a restaurant; but they are still quite good in terms of price and performance. As of July 1; prices will increase,
10,The most f/p of all businesses I've seen.,
11,The food was just like the ones my mother made. Prices were reasonable.,
13,"Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.",
24,Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,
26,The vegan breakfast made me extremely happy. It was nice.,
30,Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.,
31,The food is delicious but a little pricey. The best Cappucino in Datça is here..,
32,It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.,
34,"It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive.",
40,"It was very expensive, but taste wasn't bad.",
45,It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,
50,When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,
52,The food tastes good. The atmosphere of the place was not very attractive.,
55,Ayran came when the meal was over; the food was very bitter.,
56,Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,
57,We ordered Etli Ali Nazik Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.,
59,Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,
60,The taste was very good but the prices were also very high.,
61,Located in Gaziantep historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,
63,The restaurant that made our four-day Gaziantep holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,
64,"They sold us rotten pistachios, it sucks!",
66,"A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.",
67,The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,
68,The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,
71,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,
72,Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,
73,Great.,
77,Prices are nice,
78,Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,
79,The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream,
82,As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in Fethiye is 6 TL.,
83,The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.,
84,It literally gave me the feeling of chewing sugar. It's not even about ice cream.,
85,We visited with my friends. The lemon one was great!,
87,Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,
89,The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,
93,Mushroom burger the meat stays thin inside the huge burger bread; and the meat and mushrooms do not stay in the bread because of the sauce applied on the bread.,
95,I never liked the service very bad; when we brought the wrong burger and returned it; we had to wait that much longer. The potatoes were terrible; the only onion rings and mushrooms were beautiful. I will never go to this place again.,
97,The menu content is beautifully varied and satisfying.,
98,The price was not right; I bought a 2-piece menu; the burger and bread did not taste good.,
101,"I would like to thank the service in Fethiye branch and especially Mr. Samet; the official here, for his interest and relevance.",
102,The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.,
105,In general; everything was good; but the tables were not collected during the 35-45 minutes I was there. It was messy inside.,
107,They are very fast and the food tastes good too.,
108,The potatoes were almost dead and tasteless.,
110,There was a hair in the fries; disgusting.,
111,In terms of price; it is above Marmaris prices. In other words; there are menus with prices above the average. I was satisfied with almost everything I ate and drank.,
114,As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.,
119,Great concept and very tasty food.,
121,Delicious. However; prices are as high as Marmaris in general in 2021.,
129,Familiar coffee that I taste,
137,A pleasant place with a beach; delicious food,
138,It is a place where you can both enter at home and spend time with pleasure and eat and drink. The beach is very beautiful; your sea is clean. The food is also very good.,
